type, operation, timeCostBeforeOperation(Second), recvedWhenOperation(KB), sniffedPacketNum, sniffedPayload(KB), recvedAfterOperation
100mbit_0ms, cancel, 15,11262,13969,19748,8486
100mbit_0ms, cancel, 16,57084,46331,65507,8423
100mbit_0ms, cancel, 14,47965,39844,56334,8369
100mbit_0ms, cancel, 15,52285,43091,60927,8642
100mbit_0ms, cancel, 16,34603,30592,43250,8647
100mbit_0ms, cancel, 11,39613,33903,47935,8322
100mbit_0ms, cancel, 14,50566,41709,58973,8407
100mbit_0ms, cancel, 15,54138,44320,62662,8524
100mbit_0ms, cancel, 16,56279,45734,64661,8382
100mbit_0ms, cancel, 20,69635,55168,78003,8368
100mbit_100ms, cancel, 17,57862,46849,66239,8377
100mbit_100ms, cancel, 12,40363,34483,48753,8390
100mbit_100ms, cancel, 19,56041,45556,64413,8372
100mbit_100ms, cancel, 18,55381,45172,63867,8486
100mbit_100ms, cancel, 17,58077,47165,66686,8609
100mbit_100ms, cancel, 19,38747,33331,47125,8378
100mbit_100ms, cancel, 12,39102,33616,47527,8425
100mbit_100ms, cancel, 19,32453,28873,40822,8369
100mbit_100ms, cancel, 19,59269,47900,67725,8456
100mbit_100ms, cancel, 15,49174,40702,57548,8374
100mbit_200ms, cancel, 18,4144,8857,12520,8376
100mbit_200ms, cancel, 15,3417,8343,11791,8374
100mbit_200ms, cancel, 14,3198,8184,11567,8369
100mbit_200ms, cancel, 16,3694,8538,12068,8374
100mbit_200ms, cancel, 19,4390,9031,12764,8374
100mbit_200ms, cancel, 16,3691,8535,12063,8372
100mbit_200ms, cancel, 12,2749,7871,11124,8375
100mbit_200ms, cancel, 17,3878,8670,12255,8377
100mbit_200ms, cancel, 20,4647,9209,13015,8368
100mbit_200ms, cancel, 11,2503,7699,10881,8378
100mbit_500ms, cancel, 12,2605,7766,10977,8372
100mbit_500ms, cancel, 17,3830,8628,12195,8365
100mbit_500ms, cancel, 20,4547,9143,12922,8375
100mbit_500ms, cancel, 11,2387,7612,10758,8371
100mbit_500ms, cancel, 12,2673,7811,11039,8366
100mbit_500ms, cancel, 17,3824,8632,12199,8375
