type, operation, timeCostBeforeOperation(Second), recvedWhenOperation(KB), sniffedPacketNum, sniffedPayload(KB), recvedAfterOperation, testNum
100mbit_0ms, cancel, 15, 47343, 39466, 55800, 8457, 10
100mbit_100ms, cancel, 16, 48646, 40364, 57070, 8423, 10
100mbit_200ms, cancel, 15, 3631, 8493, 12004, 8373, 10
100mbit_500ms, cancel, 14, 3317, 8270, 11689, 8371, 10
100mbit_50ms, cancel, 14, 36403, 31701, 44815, 8411, 10
10mbit_0ms, cancel, 15, 18403, 18942, 26780, 8377, 10
10mbit_100ms, cancel, 16, 53447, 43814, 61947, 8500, 10
10mbit_200ms, cancel, 16, 41600, 35386, 50031, 8430, 10
10mbit_500ms, cancel, 15, 2879, 7985, 11284, 8404, 10
10mbit_50ms, cancel, 15, 17606, 18379, 25983, 8377, 10
2mbit_0ms, cancel, 15, 3665, 8520, 12041, 8376, 10
2mbit_100ms, cancel, 14, 3375, 8315, 11751, 8376, 10
2mbit_200ms, cancel, 15, 3573, 8453, 11948, 8374, 10
2mbit_500ms, cancel, 16, 3142, 8151, 11519, 8377, 10
2mbit_50ms, cancel, 16, 18516, 19024, 26895, 8378, 10
50mbit_0ms, cancel, 15, 48443, 40234, 56885, 8442, 10
50mbit_100ms, cancel, 14, 37228, 32293, 45657, 8428, 10
50mbit_200ms, cancel, 14, 28808, 26350, 37254, 8445, 10
50mbit_500ms, cancel, 15, 3528, 8420, 11900, 8372, 10
50mbit_50ms, cancel, 14, 41645, 35423, 50083, 8438, 10
5mbit_0ms, cancel, 14, 8260, 11769, 16636, 8376, 10
5mbit_100ms, cancel, 15, 8306, 11835, 16729, 8423, 10
5mbit_200ms, cancel, 13, 7273, 11070, 15648, 8375, 10
5mbit_500ms, cancel, 13, 2415, 7653, 10813, 8397, 10
5mbit_50ms, cancel, 15, 17919, 18601, 26298, 8378, 10
100mbit_0ms, close, 12, 41451, 30019, 42444, 993, 10
100mbit_100ms, close, 16, 49545, 35709, 50488, 942, 10
100mbit_200ms, close, 14, 3325, 2513, 3549, 224, 10
100mbit_500ms, close, 15, 3487, 2634, 3720, 232, 10
100mbit_50ms, close, 16, 49849, 35897, 50754, 905, 10
10mbit_0ms, close, 15, 16121, 11557, 16337, 215, 10
10mbit_100ms, close, 16, 53556, 38588, 54560, 1004, 10
10mbit_200ms, close, 15, 36827, 26733, 37796, 968, 10
10mbit_500ms, close, 16, 3017, 2227, 3145, 127, 10
10mbit_50ms, close, 14, 16829, 12550, 17742, 912, 10
2mbit_0ms, close, 14, 3389, 2519, 3558, 168, 10
2mbit_100ms, close, 17, 4030, 3013, 4255, 225, 10
2mbit_200ms, close, 14, 3349, 2531, 3573, 224, 10
2mbit_500ms, close, 16, 2954, 2205, 3112, 158, 10
2mbit_50ms, close, 17, 19928, 14708, 20793, 865, 10
50mbit_0ms, close, 15, 39236, 28337, 40063, 826, 10
50mbit_100ms, close, 16, 47353, 34177, 48323, 970, 10
50mbit_200ms, close, 14, 32047, 23333, 32989, 942, 10
50mbit_500ms, close, 15, 3387, 2557, 3610, 222, 10
50mbit_50ms, close, 14, 34093, 24662, 34868, 774, 10
5mbit_0ms, close, 13, 7887, 5707, 8065, 178, 10
5mbit_100ms, close, 14, 8069, 6045, 8543, 474, 10
5mbit_200ms, close, 15, 8672, 6503, 9190, 518, 10
5mbit_500ms, close, 15, 2749, 2039, 2878, 128, 10
5mbit_50ms, close, 14, 16416, 12258, 17329, 912, 10
