type, operation, timeCostBeforeOperation(Second), recvedWhenOperation(KB), sniffedPacketNum, sniffedPayload(KB), recvedAfterOperation
100mbit_0ms, cancel, 11,39305,30097,42552,3247
100mbit_0ms, cancel, 17,57359,41634,58867,1508
100mbit_0ms, cancel, 18,46426,35204,49770,3344
100mbit_0ms, cancel, 19,58087,43281,61193,3106
100mbit_0ms, cancel, 11,37361,28749,40646,3285
100mbit_0ms, cancel, 17,57682,43257,61160,3478
100mbit_0ms, cancel, 12,37960,29040,41058,3098
100mbit_0ms, cancel, 15,50424,38100,53869,3445
100mbit_0ms, cancel, 19,64221,47805,67591,3370
100mbit_0ms, cancel, 18,57158,42983,60771,3613
100mbit_0ms, cancel, 13,41200,31307,44261,3061
100mbit_0ms, cancel, 13,44642,33412,47238,2596
100mbit_0ms, cancel, 13,44475,33818,47814,3339
100mbit_0ms, cancel, 13,43961,33450,47290,3329
100mbit_0ms, cancel, 13,45270,34465,48728,3458
100mbit_100ms, cancel, 13,18604,14544,20561,1957
100mbit_100ms, cancel, 13,35583,27042,38232,2649
100mbit_100ms, cancel, 13,28751,21383,30229,1478
100mbit_100ms, cancel, 13,37006,28488,40277,3271
100mbit_100ms, cancel, 13,41433,31879,45067,3634
100mbit_100ms, cancel, 13,43015,32790,46356,3341
100mbit_100ms, cancel, 13,27309,21726,30716,3407
100mbit_100ms, cancel, 16,42755,32668,46187,3432
100mbit_100ms, cancel, 14,46485,35223,49799,3314
100mbit_100ms, cancel, 11,35440,27479,38849,3409
100mbit_100ms, cancel, 17,7849,6506,9195,1346
100mbit_100ms, cancel, 16,44411,32998,46656,2245
100mbit_100ms, cancel, 17,51799,353605,500000,448201
100mbit_100ms, cancel, 11,31325,24288,34337,3012
100mbit_100ms, cancel, 17,24614,19778,27958,3344
100mbit_250ms, cancel, 19,52601,39576,55957,3356
100mbit_250ms, cancel, 19,16645,13333,18847,2202
100mbit_250ms, cancel, 18,50638,38198,54008,3370
100mbit_250ms, cancel, 13,34506,26843,37952,3446
100mbit_250ms, cancel, 13,32593,25413,35929,3336
100mbit_250ms, cancel, 20,56509,42691,60361,3852
100mbit_250ms, cancel, 16,12521,11213,15848,3327
100mbit_250ms, cancel, 11,26684,21306,30122,3438
100mbit_250ms, cancel, 17,29561,22929,32418,2857
100mbit_250ms, cancel, 12,29699,23470,33180,3481
100mbit_250ms, cancel, 15,39700,30515,43143,3443
100mbit_250ms, cancel, 16,40009,30662,43350,3341
100mbit_250ms, cancel, 13,13518,10989,15531,2013
100mbit_250ms, cancel, 20,53596,40307,56990,3394
100mbit_250ms, cancel, 19,52157,39319,55592,3435
100mbit_500ms, cancel, 15,2747,2365,3340,593
100mbit_500ms, cancel, 20,4022,3264,4608,586
100mbit_500ms, cancel, 13,2378,2118,2988,610
100mbit_500ms, cancel, 11,1987,1943,2741,754
100mbit_500ms, cancel, 18,3386,2842,4014,628
100mbit_500ms, cancel, 17,3249,2812,3969,720
100mbit_500ms, cancel, 16,2994,2607,3680,686
100mbit_500ms, cancel, 15,2754,2410,3400,646
100mbit_500ms, cancel, 20,3892,3263,4607,715
100mbit_500ms, cancel, 17,3126,2682,3785,659
100mbit_500ms, cancel, 16,2997,2613,3688,691
100mbit_500ms, cancel, 15,2748,2408,3397,649
100mbit_500ms, cancel, 20,3891,3194,4510,619
100mbit_500ms, cancel, 13,2370,2188,3088,718
100mbit_500ms, cancel, 14,2491,2178,3074,583
100mbit_50ms, cancel, 13,37007,28287,39990,2983
100mbit_50ms, cancel, 20,51641,38894,54992,3351
100mbit_50ms, cancel, 18,6181,5421,7659,1478
100mbit_50ms, cancel, 15,4053,3537,4995,942
100mbit_50ms, cancel, 19,40306,29882,42249,1943
100mbit_50ms, cancel, 11,32543,25392,35896,3353
100mbit_50ms, cancel, 17,27221,20807,29415,2194
100mbit_50ms, cancel, 12,3951,3437,4854,903
100mbit_50ms, cancel, 18,50679,38071,53828,3149
100mbit_50ms, cancel, 20,52860,38975,55107,2247
100mbit_50ms, cancel, 19,29833,22662,32039,2206
100mbit_50ms, cancel, 14,2113,2345,3309,1196
100mbit_50ms, cancel, 15,29662,22440,31723,2061
100mbit_50ms, cancel, 12,35571,26700,37749,2178
100mbit_50ms, cancel, 15,47810,36603,51749,3939
10mbit_0ms, cancel, 18,20808,15322,21661,853
10mbit_0ms, cancel, 13,14858,11060,15634,776
10mbit_0ms, cancel, 16,7552,6196,8755,1203
10mbit_0ms, cancel, 19,20893,15389,21755,862
10mbit_0ms, cancel, 11,11607,9000,12721,1114
10mbit_0ms, cancel, 17,18566,14086,19913,1347
10mbit_0ms, cancel, 12,1920,2135,3013,1093
10mbit_0ms, cancel, 19,20714,15217,21511,797
10mbit_0ms, cancel, 11,12823,9622,13600,777
10mbit_0ms, cancel, 13,13082,9945,14057,975
10mbit_0ms, cancel, 13,10745,8535,12063,1318
10mbit_0ms, cancel, 13,15073,11331,16017,944
10mbit_0ms, cancel, 13,15131,11356,16053,922
10mbit_0ms, cancel, 13,13356,10261,14502,1146
10mbit_0ms, cancel, 13,12357,9440,13343,986
10mbit_100ms, cancel, 17,19362,16053,22695,3333
10mbit_100ms, cancel, 19,13905,11487,16237,2332
10mbit_100ms, cancel, 18,20502,16878,23860,3358
10mbit_100ms, cancel, 17,19382,16086,22740,3358
10mbit_100ms, cancel, 19,21702,17713,25042,3340
10mbit_100ms, cancel, 15,16947,14106,19941,2994
10mbit_100ms, cancel, 13,14561,12095,17096,2535
10mbit_100ms, cancel, 20,22787,18483,26131,3344
10mbit_100ms, cancel, 13,14633,12382,17502,2869
10mbit_100ms, cancel, 17,19384,16074,22724,3340
10mbit_100ms, cancel, 19,21592,17649,24950,3358
10mbit_100ms, cancel, 15,17034,14410,20371,3337
10mbit_100ms, cancel, 13,12564,9869,13949,1385
10mbit_100ms, cancel, 11,11633,10284,14534,2901
10mbit_100ms, cancel, 11,12253,10197,14412,2159
10mbit_250ms, cancel, 11,10432,8922,12611,2179
10mbit_250ms, cancel, 14,13387,11290,15957,2570
10mbit_250ms, cancel, 15,14451,12178,17215,2764
10mbit_250ms, cancel, 13,13394,11544,16319,2925
10mbit_250ms, cancel, 17,17716,14900,21062,3346
10mbit_250ms, cancel, 19,19434,16140,22815,3381
10mbit_250ms, cancel, 15,14350,12027,17000,2650
10mbit_250ms, cancel, 13,13058,11323,16005,2947
10mbit_250ms, cancel, 17,16784,14050,19862,3078
10mbit_250ms, cancel, 19,20332,16595,23459,3127
10mbit_250ms, cancel, 15,14121,11886,16800,2679
10mbit_250ms, cancel, 16,15801,13132,18563,2762
10mbit_250ms, cancel, 11,10540,9712,13728,3188
10mbit_250ms, cancel, 11,10938,9389,13271,2333
10mbit_250ms, cancel, 14,13419,11262,15920,2501
10mbit_500ms, cancel, 11,1982,1867,2636,654
10mbit_500ms, cancel, 18,3510,2931,4138,628
10mbit_500ms, cancel, 14,2615,2359,3329,714
10mbit_500ms, cancel, 19,3630,3080,4349,719
10mbit_500ms, cancel, 12,2112,1928,2721,609
10mbit_500ms, cancel, 16,2970,2528,3569,599
10mbit_500ms, cancel, 18,3414,2856,4033,619
10mbit_500ms, cancel, 11,1980,1830,2580,600
10mbit_500ms, cancel, 18,3377,2835,4004,627
10mbit_500ms, cancel, 14,2624,2313,3264,640
10mbit_500ms, cancel, 19,3628,3088,4361,733
10mbit_500ms, cancel, 15,2741,2385,3366,625
10mbit_500ms, cancel, 17,3161,2740,3869,708
10mbit_500ms, cancel, 19,3492,2917,4118,626
10mbit_500ms, cancel, 12,2222,2010,2835,613
10mbit_50ms, cancel, 11,11997,10038,14189,2192
10mbit_50ms, cancel, 14,15545,11815,16700,1155
10mbit_50ms, cancel, 11,12508,10396,14695,2187
10mbit_50ms, cancel, 14,15958,13116,18541,2583
10mbit_50ms, cancel, 18,20178,16256,22979,2801
10mbit_50ms, cancel, 17,19530,15800,22335,2805
10mbit_50ms, cancel, 12,6350,5548,7839,1489
10mbit_50ms, cancel, 12,13520,11386,16093,2573
