type, operation, timeCostBeforeOperation(Second), recvedWhenOperation(KB), sniffedPacketNum, sniffedPayload(KB), recvedAfterOperation, testNum
100mbit_0ms, cancel, 14, 48368, 36440, 51520, 3151, 15
100mbit_100ms, cancel, 14, 34425, 47359, 66961, 32536, 15
100mbit_250ms, cancel, 16, 36062, 27784, 39281, 3219, 15
100mbit_500ms, cancel, 16, 3002, 2592, 3659, 657, 15
100mbit_50ms, cancel, 15, 30095, 22896, 32370, 2274, 15
10mbit_0ms, cancel, 14, 13965, 10593, 14973, 1007, 15
10mbit_100ms, cancel, 15, 17216, 14251, 20145, 2929, 15
10mbit_250ms, cancel, 14, 14543, 12290, 17372, 2828, 15
10mbit_500ms, cancel, 15, 2897, 2511, 3544, 647, 15
10mbit_50ms, cancel, 14, 15392, 12678, 17922, 2529, 15
50mbit_0ms, cancel, 14, 43511, 32668, 46187, 2675, 15
50mbit_100ms, cancel, 14, 36210, 49782, 70386, 34176, 15
50mbit_250ms, cancel, 14, 25897, 20379, 28811, 2913, 15
50mbit_500ms, cancel, 14, 2413, 2178, 3073, 659, 5
50mbit_50ms, cancel, 15, 34157, 26016, 36782, 2624, 15
5mbit_0ms, cancel, 14, 8723, 6657, 9407, 683, 15
5mbit_100ms, cancel, 15, 8687, 7473, 10561, 1873, 15
5mbit_250ms, cancel, 15, 7823, 29891, 42262, 34439, 15
5mbit_500ms, cancel, 14, 2747, 6482, 9160, 6412, 15
5mbit_50ms, cancel, 15, 9050, 7779, 10994, 1943, 15
100mbit_0ms, close, 17, 48002, 34578, 48888, 886, 15
100mbit_100ms, close, 15, 46706, 33694, 47640, 934, 15
100mbit_250ms, close, 16, 39364, 28527, 40334, 969, 15
100mbit_500ms, close, 16, 2972, 2194, 3097, 125, 15
100mbit_50ms, close, 14, 34042, 24623, 34814, 771, 15
10mbit_0ms, close, 15, 16918, 12151, 17178, 260, 15
10mbit_100ms, close, 15, 16972, 12669, 17909, 936, 15
10mbit_250ms, close, 16, 16665, 12459, 17613, 947, 15
10mbit_500ms, close, 15, 2880, 2132, 3009, 128, 15
10mbit_50ms, close, 16, 15891, 11753, 16615, 724, 15
50mbit_0ms, close, 14, 50136, 36078, 51009, 873, 15
50mbit_100ms, close, 15, 37427, 27106, 38324, 896, 15
50mbit_250ms, close, 16, 35802, 26006, 36770, 967, 15
50mbit_500ms, close, 15, 2915, 2156, 3043, 128, 15
50mbit_50ms, close, 15, 30748, 22338, 31583, 834, 15
5mbit_0ms, close, 13, 7725, 5612, 7931, 205, 15
5mbit_100ms, close, 16, 9307, 7027, 9932, 625, 15
5mbit_250ms, close, 15, 8111, 6110, 8636, 524, 15
5mbit_500ms, close, 15, 3880, 2891, 4081, 201, 15
5mbit_50ms, close, 13, 7159, 5431, 7674, 515, 15
